location,date,new_cases,new_deaths,population,aged_65_older_percent,gdp_per_capita,hospital_beds_per_thousand
Egypt,2020-04-15,160,14,102334403.0,5.159,10550.206,1.6
Lebanon,2020-02-08,0,0,6825442.0,8.514,13367.565,2.9
Papua New Guinea,2020-04-05,0,0,8947027.0,3.808,3823.194,
New Zealand,2020-04-19,4,1,4822233.0,15.322,36085.843,2.61
Jamaica,2020-05-28,5,0,2961161.0,9.684,8193.571,1.7
Mexico,2020-02-26,0,0,128932753.0,6.857,17336.469,1.38
Guinea-Bissau,2020-05-24,25,0,1967998.0,3.002,1548.675,
United States Virgin Islands,2020-04-12,1,0,104423.0,18.601,,
Australia,2020-03-21,165,1,25499881.0,15.504,44648.71,3.84
Albania,2020-04-23,25,1,2877800.0,13.188,11803.431,2.89
United Arab Emirates,2020-04-25,525,8,9890400.0,1.144,67293.483,1.2
Czech Republic,2020-05-08,57,8,10708982.0,19.027,32605.906,6.63
Namibia,2020-05-03,0,0,2540916.0,3.552,9541.808,
Spain,2020-03-29,6424,832,46754783.0,19.436,34272.36,2.97
Indonesia,2020-03-27,103,20,273523621.0,5.319,11188.744,1.04
Uzbekistan,2020-04-05,39,0,33469199.0,4.469,6253.104,4.0
South Korea,2020-01-10,0,0,51269183.0,13.914,35938.374,12.27
New Caledonia,2020-06-08,0,0,285491.0,9.954,,
South Korea,2020-03-29,105,8,51269183.0,13.914,35938.374,12.27
Ireland,2020-04-19,778,41,4937796.0,13.928,67335.293,2.96
Ecuador,2020-05-09,-1480,50,17643060.0,7.104,10581.936,1.5
Italy,2020-03-02,561,6,60461828.0,23.021,35220.084,3.18
Singapore,2020-03-05,2,0,5850343.0,12.922,85535.383,2.4
Guernsey,2020-06-10,0,0,67052.0,,,
Liberia,2020-04-15,0,0,5057677.0,3.057,752.788,0.8
Saudi Arabia,2020-03-20,67,0,34813867.0,3.295,49045.411,2.7
Mozambique,2020-05-31,10,0,31255435.0,3.158,1136.103,0.7
Switzerland,2020-05-11,54,6,8654618.0,18.436,57410.166,4.53
Colombia,2020-06-04,1521,36,50882884.0,7.646,13254.949,1.71
San Marino,2020-02-13,0,0,33938.0,,56861.47,3.8
Switzerland,2020-01-15,0,0,8654618.0,18.436,57410.166,4.53
Iran,2020-03-11,881,54,83992953.0,5.44,19082.62,1.5
Qatar,2020-05-20,1637,0,2881060.0,1.307,116935.6,1.2
Belarus,2020-06-04,861,5,9449321.0,14.799,17167.967,11.0
Niger,2020-04-23,7,2,24206636.0,2.553,926.0,0.3
Egypt,2020-01-31,0,0,102334403.0,5.159,10550.206,1.6
British Virgin Islands,2020-03-29,0,0,30237.0,,,
Bonaire Sint Eustatius and Saba,2020-05-04,0,0,26221.0,,,
Singapore,2020-02-21,1,0,5850343.0,12.922,85535.383,2.4
Trinidad and Tobago,2020-05-22,0,0,1399491.0,10.014,28763.071,3.0
Belgium,2020-02-02,0,0,11589616.0,18.571,42658.576,5.64
South Korea,2020-04-26,10,2,51269183.0,13.914,35938.374,12.27
Bosnia and Herzegovina,2020-03-16,15,0,3280815.0,16.569,11713.895,3.5
Faeroe Islands,2020-04-18,0,0,48865.0,,,
Singapore,2020-04-14,386,1,5850343.0,12.922,85535.383,2.4
Macedonia,2020-01-16,0,0,2083380.0,13.26,13111.214,4.28
Mexico,2020-02-10,0,0,128932753.0,6.857,17336.469,1.38
Guyana,2020-04-23,0,0,786559.0,5.305,7435.047,1.6
Djibouti,2020-05-20,0,0,988002.0,4.213,2705.406,1.4
Croatia,2020-04-27,14,1,4105268.0,19.724,22669.797,5.54
Ghana,2020-05-21,173,0,31072945.0,3.385,4227.63,0.9
French Polynesia,2020-05-07,0,0,280904.0,7.775,,
Paraguay,2020-04-05,8,0,7132530.0,6.378,8827.01,1.3
China,2020-05-23,2,0,1439323774.0,10.641,15308.712,4.34
Kazakhstan,2020-04-17,139,1,18776707.0,6.991,24055.588,6.7
South Africa,2020-04-06,70,2,59308690.0,5.344,12294.876,2.32
Vatican,2020-04-18,0,0,809.0,,,
Greenland,2020-03-30,0,0,56772.0,,,
Latvia,2020-04-04,35,1,1886202.0,19.754,25063.846,5.57
Iceland,2020-01-09,0,0,341250.0,14.431,46482.958,2.91
Congo,2020-04-25,14,0,5518092.0,3.402,4881.406,
Democratic Republic of Congo,2020-03-18,0,0,89561404.0,3.02,808.133,
Central African Republic,2020-04-24,1,0,4829764.0,3.655,661.24,1.0
International,2020-01-29,0,0,,,,
Iran,2020-05-17,1757,35,83992953.0,5.44,19082.62,1.5
Cayman Islands,2020-03-31,4,0,65720.0,,49903.029,
Guatemala,2020-05-21,132,2,17915567.0,4.694,7423.808,0.6
Czech Republic,2020-02-26,0,0,10708982.0,19.027,32605.906,6.63
Vietnam,2020-04-15,1,0,97338583.0,7.15,6171.884,2.6
Mexico,2020-04-06,253,15,128932753.0,6.857,17336.469,1.38
South Sudan,2020-06-08,0,0,11193729.0,3.441,1569.888,
Kazakhstan,2020-05-10,202,0,18776707.0,6.991,24055.588,6.7
Estonia,2020-01-02,0,0,1326539.0,19.452,29481.252,4.69
Kenya,2020-04-18,12,0,53771300.0,2.686,2993.028,1.4
Tanzania,2020-04-18,53,1,59734213.0,3.108,2683.304,0.7
Malaysia,2020-05-23,78,1,32365998.0,6.293,26808.164,1.9
Lebanon,2020-04-01,17,1,6825442.0,8.514,13367.565,2.9
El Salvador,2020-03-23,0,0,6486201.0,8.273,7292.458,1.3
Panama,2020-04-27,241,6,4314768.0,7.918,22267.037,2.3
Brunei,2020-06-01,0,0,437483.0,4.591,71809.251,2.7
Germany,2020-01-17,0,0,83783945.0,21.453,45229.245,8.0
Jersey,2020-04-16,0,2,101073.0,,,
Denmark,2020-02-13,0,0,5792203.0,19.677,46682.515,2.5
Macedonia,2020-04-06,0,0,2083380.0,13.26,13111.214,4.28
Slovenia,2020-04-01,51,2,2078932.0,19.062,31400.84,4.5
Dominican Republic,2020-02-19,0,0,10847904.0,6.981,14600.861,1.6
Indonesia,2020-01-21,0,0,273523621.0,5.319,11188.744,1.04
Kazakhstan,2020-05-03,206,0,18776707.0,6.991,24055.588,6.7
Ireland,2020-03-12,8,1,4937796.0,13.928,67335.293,2.96
Seychelles,2020-05-07,0,0,98340.0,8.606,26382.287,3.6
Philippines,2020-01-18,0,0,109581085.0,4.803,7599.188,1.0
Iraq,2020-02-14,0,0,40222503.0,3.186,15663.986,1.4
Israel,2020-01-20,0,0,8655541.0,11.733,33132.32,2.99
India,2020-05-09,3320,95,1380004385.0,5.989,6426.674,0.53
Finland,2020-02-07,0,0,5540718.0,21.228,40585.721,3.28
Haiti,2020-05-06,1,1,11402533.0,4.8,1653.173,0.7
Belarus,2020-05-25,954,5,9449321.0,14.799,17167.967,11.0
Austria,2020-06-08,46,0,9006400.0,19.202,45436.686,7.37
Macedonia,2020-05-10,36,1,2083380.0,13.26,13111.214,4.28
Trinidad and Tobago,2020-03-21,0,0,1399491.0,10.014,28763.071,3.0
Algeria,2020-02-12,0,0,43851043.0,6.211,13913.839,1.9
Kazakhstan,2020-04-25,148,3,18776707.0,6.991,24055.588,6.7
Oman,2020-04-12,62,0,5106622.0,2.355,37960.709,1.6
Greenland,2020-04-16,0,0,56772.0,,,
Cambodia,2020-02-23,0,0,16718971.0,4.412,3645.07,0.8
Belgium,2020-01-12,0,0,11589616.0,18.571,42658.576,5.64
Spain,2020-05-24,482,74,46754783.0,19.436,34272.36,2.97
