location,date,new_cases,new_deaths,population,aged_65_older_percent,gdp_per_capita,hospital_beds_per_thousand
Burundi,2020-05-11,0,0,11890781.0,2.562,702.225,0.8
Romania,2020-01-23,0,0,19237682.0,17.85,23313.199,6.892
Venezuela,2020-04-13,6,0,28435943.0,6.614,16745.022,0.8
Jamaica,2020-04-23,19,0,2961161.0,9.684,8193.571,1.7
Puerto Rico,2020-04-30,33,0,2860840.0,15.168,35044.67,
New Zealand,2020-01-02,0,0,4822233.0,15.322,36085.843,2.61
Yemen,2020-06-10,28,15,29825968.0,2.922,1479.147,0.7
Mozambique,2020-04-14,6,0,31255435.0,3.158,1136.103,0.7
Taiwan,2020-02-28,2,0,23816775.0,,,
Curacao,2020-06-02,1,0,164100.0,16.367,,
Singapore,2020-04-05,75,1,5850343.0,12.922,85535.383,2.4
Switzerland,2020-04-27,167,8,8654618.0,18.436,57410.166,4.53
Nigeria,2020-05-19,216,9,206139587.0,2.751,5338.454,
Northern Mariana Islands,2020-05-18,0,0,57557.0,,,
Nigeria,2020-01-03,0,0,206139587.0,2.751,5338.454,
Maldives,2020-05-08,25,1,540542.0,4.12,15183.616,
Haiti,2020-06-01,259,3,11402533.0,4.8,1653.173,0.7
Nicaragua,2020-05-15,0,0,6624554.0,5.445,5321.444,0.9
Bulgaria,2020-06-07,43,0,6948445.0,20.801,18563.307,7.454
Zambia,2020-04-27,4,0,18383956.0,2.48,3689.251,2.0
Mali,2020-05-17,29,2,20250834.0,2.519,2014.306,0.1
Guinea,2020-04-27,98,0,13132792.0,3.135,1998.926,0.3
Albania,2020-05-31,23,0,2877800.0,13.188,11803.431,2.89
Vietnam,2020-02-05,1,0,97338583.0,7.15,6171.884,2.6
Croatia,2020-06-06,0,0,4105268.0,19.724,22669.797,5.54
Paraguay,2020-04-24,7,0,7132530.0,6.378,8827.01,1.3
Taiwan,2020-03-06,2,0,23816775.0,,,
Mozambique,2020-05-09,1,0,31255435.0,3.158,1136.103,0.7
New Caledonia,2020-06-01,0,0,285491.0,9.954,,
Italy,2020-04-13,4092,431,60461828.0,23.021,35220.084,3.18
Saint Kitts and Nevis,2020-04-16,0,0,53192.0,,24654.385,2.3
Qatar,2020-03-04,5,0,2881060.0,1.307,116935.6,1.2
India,2020-02-27,0,0,1380004385.0,5.989,6426.674,0.53
Switzerland,2020-04-10,785,51,8654618.0,18.436,57410.166,4.53
Peru,2020-04-08,393,15,32971846.0,7.151,12236.706,1.6
British Virgin Islands,2020-04-13,0,0,30237.0,,,
Bermuda,2020-04-09,0,1,62273.0,,50669.315,
Mexico,2020-01-24,0,0,128932753.0,6.857,17336.469,1.38
Brunei,2020-04-16,0,0,437483.0,4.591,71809.251,2.7
South Korea,2020-04-04,94,3,51269183.0,13.914,35938.374,12.27
Czech Republic,2020-03-11,23,0,10708982.0,19.027,32605.906,6.63
Saint Vincent and the Grenadines,2020-05-08,0,0,110947.0,7.724,10727.146,2.6
Malaysia,2020-04-04,217,3,32365998.0,6.293,26808.164,1.9
Iraq,2020-05-19,150,4,40222503.0,3.186,15663.986,1.4
Djibouti,2020-06-03,210,1,988002.0,4.213,2705.406,1.4
Indonesia,2020-01-19,0,0,273523621.0,5.319,11188.744,1.04
Cameroon,2020-04-02,40,0,26545864.0,3.165,3364.926,1.3
Belgium,2020-06-02,136,19,11589616.0,18.571,42658.576,5.64
Taiwan,2020-01-06,0,0,23816775.0,,,
Saudi Arabia,2020-04-10,355,3,34813867.0,3.295,49045.411,2.7
Japan,2020-02-22,12,0,126476458.0,27.049,39002.223,13.05
Greenland,2020-04-17,0,0,56772.0,,,
Cape Verde,2020-04-13,2,0,555988.0,4.46,6222.554,2.1
Iran,2020-03-23,1028,129,83992953.0,5.44,19082.62,1.5
Sri Lanka,2020-05-18,21,0,21413250.0,10.069,11669.077,3.6
Jamaica,2020-05-27,8,0,2961161.0,9.684,8193.571,1.7
Pakistan,2020-04-03,0,0,220892331.0,4.495,5034.708,0.6
Greenland,2020-05-04,0,0,56772.0,,,
Serbia,2020-06-01,31,1,6804596.0,17.366,14048.881,5.609
China,2020-02-03,2812,57,1439323774.0,10.641,15308.712,4.34
Austria,2020-03-16,205,0,9006400.0,19.202,45436.686,7.37
Madagascar,2020-04-19,0,0,27691019.0,2.929,1416.44,0.2
Anguilla,2020-04-08,0,0,15002.0,,,
Rwanda,2020-04-19,1,0,12952209.0,2.974,1854.211,
Tanzania,2020-05-31,0,0,59734213.0,3.108,2683.304,0.7
Switzerland,2020-03-05,20,0,8654618.0,18.436,57410.166,4.53
Russia,2020-03-06,0,0,145934460.0,14.178,24765.954,8.05
Benin,2020-04-13,0,0,12123198.0,3.244,2064.236,0.5
Iceland,2020-06-02,0,0,341250.0,14.431,46482.958,2.91
International,2020-02-18,99,0,,,,
Thailand,2020-01-22,2,0,69799978.0,11.373,16277.671,2.1
Cuba,2020-06-08,18,0,11326616.0,14.738,,5.2
Venezuela,2020-05-10,14,0,28435943.0,6.614,16745.022,0.8
Libya,2020-06-04,14,0,6871287.0,4.424,17881.509,3.7
Central African Republic,2020-05-28,31,0,4829764.0,3.655,661.24,1.0
Chad,2020-05-12,0,0,16425859.0,2.486,1768.153,
Gabon,2020-03-21,0,1,2225728.0,4.45,16562.413,6.3
France,2020-02-16,0,0,65273512.0,19.718,38605.671,5.98
Gabon,2020-04-30,38,0,2225728.0,4.45,16562.413,6.3
Bangladesh,2020-04-11,94,6,164689383.0,5.098,3523.984,0.8
Barbados,2020-04-20,0,0,287371.0,14.952,16978.068,5.8
Estonia,2020-01-22,0,0,1326539.0,19.452,29481.252,4.69
Vatican,2020-05-18,0,0,809.0,,,
Somalia,2020-04-16,20,3,15893219.0,2.731,,0.9
Angola,2020-04-03,0,0,32866268.0,2.405,5819.495,
Philippines,2020-06-02,552,3,109581085.0,4.803,7599.188,1.0
Finland,2020-05-19,33,2,5540718.0,21.228,40585.721,3.28
Sweden,2020-02-21,0,0,10099270.0,19.985,46949.283,2.22
Philippines,2020-01-03,0,0,109581085.0,4.803,7599.188,1.0
Guinea,2020-05-23,0,0,13132792.0,3.135,1998.926,0.3
Andorra,2020-05-09,0,0,77265.0,,,
Gambia,2020-03-26,0,0,2416664.0,2.339,1561.767,1.1
Canada,2020-03-30,869,1,37742157.0,16.984,44017.591,2.5
United Kingdom,2020-03-22,1035,56,67886004.0,18.517,39753.244,2.54
Ghana,2020-05-04,0,0,31072945.0,3.385,4227.63,0.9
Mexico,2020-01-19,0,0,128932753.0,6.857,17336.469,1.38
Saint Kitts and Nevis,2020-04-13,0,0,53192.0,,24654.385,2.3
Guam,2020-04-25,1,0,168783.0,9.551,,
Netherlands,2020-04-03,1083,166,17134873.0,18.779,48472.545,3.32
Sweden,2020-04-10,722,106,10099270.0,19.985,46949.283,2.22
Anguilla,2020-05-26,0,0,15002.0,,,
Belize,2020-04-19,0,0,397621.0,3.853,7824.362,1.3
Greece,2019-12-31,0,0,10423056.0,20.396,24574.382,4.21
Zambia,2020-05-19,8,0,18383956.0,2.48,3689.251,2.0
Chad,2020-05-28,15,2,16425859.0,2.486,1768.153,
Georgia,2020-02-25,0,0,3989175.0,14.864,9745.079,2.6
Egypt,2020-02-24,0,0,102334403.0,5.159,10550.206,1.6
Iran,2020-02-27,44,4,83992953.0,5.44,19082.62,1.5
Isle of Man,2020-04-18,5,0,85032.0,,,
Ecuador,2020-01-29,0,0,17643060.0,7.104,10581.936,1.5
Trinidad and Tobago,2020-03-25,6,0,1399491.0,10.014,28763.071,3.0
United States,2020-01-31,1,0,331002647.0,15.413,54225.446,2.77
Zimbabwe,2020-04-01,1,0,14862927.0,2.822,1899.775,1.7
Libya,2020-06-05,0,0,6871287.0,4.424,17881.509,3.7
Saint Vincent and the Grenadines,2020-04-30,0,0,110947.0,7.724,10727.146,2.6
Greece,2020-06-01,2,0,10423056.0,20.396,24574.382,4.21
Mongolia,2020-05-28,13,0,3278292.0,4.031,11840.846,7.0
Belarus,2020-03-10,0,0,9449321.0,14.799,17167.967,11.0
Togo,2020-05-24,10,0,8278737.0,2.839,1429.813,0.7
Luxembourg,2020-01-01,0,0,625976.0,14.312,94277.965,4.51
Taiwan,2020-04-05,8,0,23816775.0,,,
United Arab Emirates,2020-04-11,370,2,9890400.0,1.144,67293.483,1.2
Nigeria,2020-06-05,350,8,206139587.0,2.751,5338.454,
Spain,2020-02-21,0,0,46754783.0,19.436,34272.36,2.97
French Polynesia,2020-05-23,0,0,280904.0,7.775,,
San Marino,2020-06-05,0,0,33938.0,,56861.47,3.8
Isle of Man,2020-03-26,0,0,85032.0,,,
Saudi Arabia,2020-04-26,1197,9,34813867.0,3.295,49045.411,2.7
Bahamas,2020-04-25,1,0,393248.0,8.996,27717.847,2.9
South Korea,2020-04-02,190,6,51269183.0,13.914,35938.374,12.27
Sri Lanka,2020-06-06,4,0,21413250.0,10.069,11669.077,3.6
Georgia,2020-04-13,15,0,3989175.0,14.864,9745.079,2.6
Namibia,2020-04-27,0,0,2540916.0,3.552,9541.808,
Bhutan,2020-04-08,0,0,771612.0,4.885,8708.597,1.7
Dominican Republic,2020-02-21,0,0,10847904.0,6.981,14600.861,1.6
Equatorial Guinea,2020-05-18,0,0,1402985.0,2.846,22604.873,2.1
Malawi,2020-06-10,12,0,19129955.0,2.979,1095.042,1.3
Anguilla,2020-04-11,0,0,15002.0,,,
Western Sahara,2020-06-07,0,0,597330.0,,,
Qatar,2020-03-10,3,0,2881060.0,1.307,116935.6,1.2
Tajikistan,2020-05-29,463,1,9537642.0,3.466,2896.913,4.8
Togo,2020-04-06,3,0,8278737.0,2.839,1429.813,0.7
Argentina,2020-05-08,163,9,45195777.0,11.198,18933.907,5.0
France,2020-03-07,190,2,65273512.0,19.718,38605.671,5.98
Finland,2020-03-25,92,0,5540718.0,21.228,40585.721,3.28
Guernsey,2020-03-22,0,0,67052.0,,,
Haiti,2020-03-24,3,0,11402533.0,4.8,1653.173,0.7
Swaziland,2020-05-15,0,0,1160164.0,3.163,7738.975,2.1
Taiwan,2020-04-08,3,0,23816775.0,,,
Togo,2020-05-14,20,0,8278737.0,2.839,1429.813,0.7
Netherlands,2020-03-17,278,4,17134873.0,18.779,48472.545,3.32
South Korea,2020-01-08,0,0,51269183.0,13.914,35938.374,12.27
United States,2020-02-19,0,0,331002647.0,15.413,54225.446,2.77
Bangladesh,2020-04-27,418,5,164689383.0,5.098,3523.984,0.8
Portugal,2020-04-19,663,30,10196707.0,21.502,27936.896,3.39
Bangladesh,2020-04-02,3,1,164689383.0,5.098,3523.984,0.8
Algeria,2020-05-25,193,8,43851043.0,6.211,13913.839,1.9
Estonia,2020-01-09,0,0,1326539.0,19.452,29481.252,4.69
Nigeria,2020-01-02,0,0,206139587.0,2.751,5338.454,
Algeria,2020-04-29,132,5,43851043.0,6.211,13913.839,1.9
Madagascar,2020-04-08,8,0,27691019.0,2.929,1416.44,0.2
Cambodia,2020-06-04,0,0,16718971.0,4.412,3645.07,0.8
Peru,2020-03-09,6,0,32971846.0,7.151,12236.706,1.6
Barbados,2020-04-18,0,0,287371.0,14.952,16978.068,5.8
France,2020-04-22,2667,531,65273512.0,19.718,38605.671,5.98
Belgium,2020-03-19,243,9,11589616.0,18.571,42658.576,5.64
International,2020-01-12,0,0,,,,
Armenia,2020-04-13,46,0,2963234.0,11.232,8787.58,4.2
Montserrat,2020-04-02,0,0,4999.0,,,
Azerbaijan,2020-01-06,0,0,10139175.0,6.018,15847.419,4.7
Bolivia,2020-03-25,4,0,11673029.0,6.704,6885.829,1.1
Iran,2020-02-07,0,0,83992953.0,5.44,19082.62,1.5
United States Virgin Islands,2020-05-13,0,0,104423.0,18.601,,
Oman,2020-05-31,603,2,5106622.0,2.355,37960.709,1.6
Cambodia,2020-04-03,4,0,16718971.0,4.412,3645.07,0.8
Uzbekistan,2020-06-06,57,0,33469199.0,4.469,6253.104,4.0
Kosovo,2020-03-31,15,0,1932774.0,,9795.834,
Bhutan,2020-04-09,0,0,771612.0,4.885,8708.597,1.7
El Salvador,2020-04-20,11,0,6486201.0,8.273,7292.458,1.3
Eritrea,2020-04-06,0,0,3546427.0,3.607,1510.459,0.7
Jersey,2020-06-03,0,1,101073.0,,,
Tajikistan,2020-05-02,0,0,9537642.0,3.466,2896.913,4.8
Bahamas,2020-04-08,3,1,393248.0,8.996,27717.847,2.9
Bulgaria,2020-05-16,38,3,6948445.0,20.801,18563.307,7.454
World,2020-04-13,71254,5266,7794798729.0,8.696,15469.207,2.705
Poland,2020-03-29,249,2,37846605.0,16.763,27216.445,6.62
Netherlands,2020-02-18,0,0,17134873.0,18.779,48472.545,3.32
Norway,2020-05-27,12,0,5421242.0,16.821,64800.057,3.6
Iraq,2020-04-12,39,2,40222503.0,3.186,15663.986,1.4
El Salvador,2020-04-25,11,0,6486201.0,8.273,7292.458,1.3
France,2020-03-14,785,18,65273512.0,19.718,38605.671,5.98
Ethiopia,2020-04-15,8,0,114963583.0,3.526,1729.927,0.3
Belize,2020-04-21,0,0,397621.0,3.853,7824.362,1.3
Laos,2020-04-25,0,0,7275556.0,4.029,6397.36,1.5
Panama,2020-05-18,157,6,4314768.0,7.918,22267.037,2.3
United Kingdom,2020-01-24,0,0,67886004.0,18.517,39753.244,2.54
Palestine,2020-05-18,6,0,5101416.0,3.043,4449.898,
Spain,2020-04-25,2506,378,46754783.0,19.436,34272.36,2.97
Qatar,2020-01-18,0,0,2881060.0,1.307,116935.6,1.2
Bhutan,2020-05-30,2,0,771612.0,4.885,8708.597,1.7
Liechtenstein,2020-04-13,0,0,38137.0,,,2.397
Suriname,2020-06-02,21,0,586634.0,6.933,13767.119,3.1
Turkey,2020-04-14,4093,98,84339067.0,8.153,25129.341,2.81
Fiji,2020-04-07,0,0,896444.0,6.224,8702.975,2.3
Curacao,2020-05-18,0,0,164100.0,16.367,,
Uruguay,2020-03-28,0,0,3473727.0,14.655,20551.409,2.8
Spain,2020-01-14,0,0,46754783.0,19.436,34272.36,2.97
Germany,2020-03-23,3311,27,83783945.0,21.453,45229.245,8.0
British Virgin Islands,2020-05-05,1,0,30237.0,,,
Yemen,2020-05-03,3,0,29825968.0,2.922,1479.147,0.7
Bahrain,2020-01-09,0,0,1701583.0,2.372,43290.705,2.0
Japan,2020-04-12,1401,10,126476458.0,27.049,39002.223,13.05
Zimbabwe,2020-04-30,2,0,14862927.0,2.822,1899.775,1.7
Kazakhstan,2020-05-31,476,1,18776707.0,6.991,24055.588,6.7
Bangladesh,2020-04-17,341,10,164689383.0,5.098,3523.984,0.8
South Korea,2020-03-11,242,6,51269183.0,13.914,35938.374,12.27
Cote d'Ivoire,2020-04-02,22,0,26378275.0,2.933,3601.006,
Zambia,2020-04-25,8,0,18383956.0,2.48,3689.251,2.0
Mexico,2020-04-10,260,20,128932753.0,6.857,17336.469,1.38
Chile,2020-04-19,478,10,19116209.0,11.087,22767.037,2.11
Botswana,2020-04-10,6,0,2351625.0,3.941,15807.374,1.8
South Africa,2020-06-06,2642,60,59308690.0,5.344,12294.876,2.32
Barbados,2020-03-20,1,0,287371.0,14.952,16978.068,5.8
Somalia,2020-05-25,0,0,15893219.0,2.731,,0.9
Burundi,2020-04-18,1,0,11890781.0,2.562,702.225,0.8
Japan,2020-01-28,1,0,126476458.0,27.049,39002.223,13.05
Rwanda,2020-04-28,16,0,12952209.0,2.974,1854.211,
Thailand,2020-06-10,6,0,69799978.0,11.373,16277.671,2.1
United States Virgin Islands,2020-03-27,0,0,104423.0,18.601,,
Austria,2020-01-22,0,0,9006400.0,19.202,45436.686,7.37
New Zealand,2020-05-07,1,0,4822233.0,15.322,36085.843,2.61
British Virgin Islands,2020-06-05,0,0,30237.0,,,
Niger,2020-06-05,2,0,24206636.0,2.553,926.0,0.3
Spain,2020-02-02,0,0,46754783.0,19.436,34272.36,2.97
Afghanistan,2020-04-08,30,4,38928341.0,2.581,1803.987,0.5
Guyana,2020-06-10,2,0,786559.0,5.305,7435.047,1.6
Syria,2020-06-03,0,1,17500657.0,,,1.5
Bulgaria,2020-04-13,14,1,6948445.0,20.801,18563.307,7.454
World,2020-05-18,81217,2973,7794798729.0,8.696,15469.207,2.705
Japan,2020-06-10,41,3,126476458.0,27.049,39002.223,13.05
Algeria,2019-12-31,0,0,43851043.0,6.211,13913.839,1.9
Switzerland,2020-02-02,0,0,8654618.0,18.436,57410.166,4.53
Paraguay,2020-05-13,13,0,7132530.0,6.378,8827.01,1.3
Sao Tome and Principe,2020-05-10,0,0,219161.0,2.886,3052.714,2.9
Puerto Rico,2020-05-26,71,2,2860840.0,15.168,35044.67,
Niger,2020-03-29,0,0,24206636.0,2.553,926.0,0.3
Morocco,2020-02-12,0,0,36910558.0,6.769,7485.013,1.1
Trinidad and Tobago,2020-04-11,0,0,1399491.0,10.014,28763.071,3.0
Lithuania,2020-03-31,0,0,2722291.0,19.002,29524.265,6.56
Djibouti,2020-04-06,8,0,988002.0,4.213,2705.406,1.4
Denmark,2020-01-23,0,0,5792203.0,19.677,46682.515,2.5
France,2020-02-18,0,0,65273512.0,19.718,38605.671,5.98
Gambia,2020-04-17,0,0,2416664.0,2.339,1561.767,1.1
United States,2020-02-14,1,0,331002647.0,15.413,54225.446,2.77
Kenya,2020-04-20,8,2,53771300.0,2.686,2993.028,1.4
Armenia,2020-03-22,24,0,2963234.0,11.232,8787.58,4.2
Azerbaijan,2020-01-31,0,0,10139175.0,6.018,15847.419,4.7
Ireland,2020-04-03,402,13,4937796.0,13.928,67335.293,2.96
Tanzania,2020-05-13,0,0,59734213.0,3.108,2683.304,0.7
Qatar,2020-05-07,830,0,2881060.0,1.307,116935.6,1.2
Paraguay,2020-04-13,13,0,7132530.0,6.378,8827.01,1.3
Tunisia,2020-03-11,3,0,11818618.0,8.001,10849.297,2.3
San Marino,2020-02-14,0,0,33938.0,,56861.47,3.8
Israel,2020-03-31,226,2,8655541.0,11.733,33132.32,2.99
Saint Vincent and the Grenadines,2020-06-01,0,0,110947.0,7.724,10727.146,2.6
Panama,2020-06-02,374,8,4314768.0,7.918,22267.037,2.3
Dominica,2020-05-08,0,0,71991.0,,9673.367,3.8
Saint Lucia,2020-05-26,0,0,183629.0,9.721,12951.839,1.3
Qatar,2020-05-31,2355,0,2881060.0,1.307,116935.6,1.2
Morocco,2020-02-08,0,0,36910558.0,6.769,7485.013,1.1
Chad,2020-04-05,1,0,16425859.0,2.486,1768.153,
Laos,2020-05-14,0,0,7275556.0,4.029,6397.36,1.5
France,2020-05-14,507,83,65273512.0,19.718,38605.671,5.98
Uruguay,2020-04-14,7,0,3473727.0,14.655,20551.409,2.8
Kenya,2020-03-30,4,0,53771300.0,2.686,2993.028,1.4
Norway,2020-01-05,0,0,5421242.0,16.821,64800.057,3.6
Israel,2020-04-24,290,2,8655541.0,11.733,33132.32,2.99
Grenada,2020-06-05,0,0,112519.0,7.304,13593.877,3.7
Maldives,2020-03-23,0,0,540542.0,4.12,15183.616,
Macedonia,2020-04-21,18,3,2083380.0,13.26,13111.214,4.28
Tanzania,2020-06-09,0,0,59734213.0,3.108,2683.304,0.7
Ukraine,2020-04-24,477,6,43733759.0,16.462,7894.393,8.8
Ireland,2020-02-06,0,0,4937796.0,13.928,67335.293,2.96
Monaco,2020-05-30,0,0,39244.0,,,13.8
Guatemala,2020-06-06,331,58,17915567.0,4.694,7423.808,0.6
Pakistan,2020-04-05,159,4,220892331.0,4.495,5034.708,0.6
Germany,2020-01-28,1,0,83783945.0,21.453,45229.245,8.0
Sao Tome and Principe,2020-04-20,0,0,219161.0,2.886,3052.714,2.9
Pakistan,2020-06-01,2964,60,220892331.0,4.495,5034.708,0.6
Nigeria,2020-05-02,238,10,206139587.0,2.751,5338.454,
Qatar,2020-02-15,0,0,2881060.0,1.307,116935.6,1.2
Cameroon,2020-05-13,0,0,26545864.0,3.165,3364.926,1.3
Portugal,2020-03-16,76,0,10196707.0,21.502,27936.896,3.39
Kuwait,2020-01-20,0,0,4270563.0,2.345,65530.537,2.0
Anguilla,2020-05-23,0,0,15002.0,,,
Croatia,2020-04-26,7,3,4105268.0,19.724,22669.797,5.54
Angola,2020-05-15,3,0,32866268.0,2.405,5819.495,
Kazakhstan,2020-04-30,142,0,18776707.0,6.991,24055.588,6.7
Israel,2020-05-20,29,5,8655541.0,11.733,33132.32,2.99
Dominican Republic,2020-05-20,498,7,10847904.0,6.981,14600.861,1.6
Hungary,2020-03-14,9,0,9660350.0,18.577,26777.561,7.02
Egypt,2020-03-12,1,0,102334403.0,5.159,10550.206,1.6
Palestine,2020-03-20,3,0,5101416.0,3.043,4449.898,
Denmark,2020-04-13,178,13,5792203.0,19.677,46682.515,2.5
Bosnia and Herzegovina,2020-04-01,60,4,3280815.0,16.569,11713.895,3.5
Slovenia,2020-03-15,40,0,2078932.0,19.062,31400.84,4.5
Estonia,2020-01-14,0,0,1326539.0,19.452,29481.252,4.69
Bahrain,2020-01-31,0,0,1701583.0,2.372,43290.705,2.0
Panama,2020-06-05,435,6,4314768.0,7.918,22267.037,2.3
Indonesia,2020-02-02,0,0,273523621.0,5.319,11188.744,1.04
Sao Tome and Principe,2020-04-26,0,0,219161.0,2.886,3052.714,2.9
Jordan,2020-03-26,26,0,10203140.0,3.81,8337.49,1.4
Malaysia,2020-02-09,1,0,32365998.0,6.293,26808.164,1.9
Libya,2020-05-27,2,0,6871287.0,4.424,17881.509,3.7
Montenegro,2020-05-22,0,0,628062.0,14.762,16409.288,3.861
Russia,2020-05-01,7099,101,145934460.0,14.178,24765.954,8.05
Australia,2020-01-13,0,0,25499881.0,15.504,44648.71,3.84
Austria,2020-05-31,44,0,9006400.0,19.202,45436.686,7.37
Monaco,2020-01-17,0,0,39244.0,,,13.8
Mexico,2020-01-29,0,0,128932753.0,6.857,17336.469,1.38
Nepal,2020-04-09,0,0,29136808.0,5.809,2442.804,0.3
Costa Rica,2020-03-30,19,0,5094114.0,9.468,15524.995,1.13
Spain,2020-03-24,7691,462,46754783.0,19.436,34272.36,2.97
Saint Lucia,2020-05-24,0,0,183629.0,9.721,12951.839,1.3
Georgia,2020-01-05,0,0,3989175.0,14.864,9745.079,2.6
Ethiopia,2020-03-23,2,0,114963583.0,3.526,1729.927,0.3
Nicaragua,2020-03-25,0,0,6624554.0,5.445,5321.444,0.9
Cape Verde,2020-03-30,0,0,555988.0,4.46,6222.554,2.1
Hungary,2020-06-09,44,6,9660350.0,18.577,26777.561,7.02
Iraq,2020-01-21,0,0,40222503.0,3.186,15663.986,1.4
Bhutan,2020-04-12,0,0,771612.0,4.885,8708.597,1.7
Greece,2020-02-09,0,0,10423056.0,20.396,24574.382,4.21
Germany,2020-05-17,583,33,83783945.0,21.453,45229.245,8.0
Tunisia,2020-04-06,58,1,11818618.0,8.001,10849.297,2.3
Latvia,2020-06-09,0,1,1886202.0,19.754,25063.846,5.57
Mozambique,2020-03-28,0,0,31255435.0,3.158,1136.103,0.7
Bahrain,2020-06-09,654,0,1701583.0,2.372,43290.705,2.0
Greece,2020-03-14,57,0,10423056.0,20.396,24574.382,4.21
Kuwait,2020-05-13,991,10,4270563.0,2.345,65530.537,2.0
Germany,2020-03-09,55,0,83783945.0,21.453,45229.245,8.0
Saint Kitts and Nevis,2020-04-03,0,0,53192.0,,24654.385,2.3
Iceland,2020-02-17,0,0,341250.0,14.431,46482.958,2.91
Cambodia,2020-05-01,0,0,16718971.0,4.412,3645.07,0.8
Iceland,2020-01-27,0,0,341250.0,14.431,46482.958,2.91
Namibia,2020-06-10,0,0,2540916.0,3.552,9541.808,
Dominica,2020-05-04,0,0,71991.0,,9673.367,3.8
United Kingdom,2020-04-25,5386,1005,67886004.0,18.517,39753.244,2.54
Seychelles,2020-05-06,0,0,98340.0,8.606,26382.287,3.6
Nepal,2020-02-10,0,0,29136808.0,5.809,2442.804,0.3
Kenya,2020-03-10,0,0,53771300.0,2.686,2993.028,1.4
Bulgaria,2020-04-06,28,3,6948445.0,20.801,18563.307,7.454
Saint Vincent and the Grenadines,2020-05-17,0,0,110947.0,7.724,10727.146,2.6
Vietnam,2020-04-14,3,0,97338583.0,7.15,6171.884,2.6
Guinea-Bissau,2020-05-17,0,0,1967998.0,3.002,1548.675,
Mexico,2020-01-23,0,0,128932753.0,6.857,17336.469,1.38
Spain,2020-02-08,0,0,46754783.0,19.436,34272.36,2.97
Sri Lanka,2020-05-14,26,0,21413250.0,10.069,11669.077,3.6
Monaco,2020-04-10,3,0,39244.0,,,13.8
Ethiopia,2020-05-05,5,0,114963583.0,3.526,1729.927,0.3
Uruguay,2020-05-13,6,0,3473727.0,14.655,20551.409,2.8
South Africa,2020-04-10,89,0,59308690.0,5.344,12294.876,2.32
Morocco,2020-02-18,0,0,36910558.0,6.769,7485.013,1.1
Czech Republic,2020-01-02,0,0,10708982.0,19.027,32605.906,6.63
Lithuania,2020-02-03,0,0,2722291.0,19.002,29524.265,6.56
Tunisia,2020-04-27,10,0,11818618.0,8.001,10849.297,2.3
Sri Lanka,2020-06-09,22,0,21413250.0,10.069,11669.077,3.6
Timor,2020-05-31,0,0,1318442.0,3.556,6570.102,5.9
Chad,2020-03-30,0,0,16425859.0,2.486,1768.153,
Libya,2020-04-11,0,0,6871287.0,4.424,17881.509,3.7
Nigeria,2020-04-18,51,4,206139587.0,2.751,5338.454,
Netherlands,2020-02-13,0,0,17134873.0,18.779,48472.545,3.32
Norway,2020-02-15,0,0,5421242.0,16.821,64800.057,3.6
Monaco,2020-01-12,0,0,39244.0,,,13.8
Taiwan,2020-05-06,0,0,23816775.0,,,
British Virgin Islands,2020-06-09,0,0,30237.0,,,
Croatia,2020-03-26,36,0,4105268.0,19.724,22669.797,5.54
Dominican Republic,2020-02-02,0,0,10847904.0,6.981,14600.861,1.6
Philippines,2020-05-03,156,24,109581085.0,4.803,7599.188,1.0
Italy,2020-05-11,802,165,60461828.0,23.021,35220.084,3.18
Indonesia,2020-02-25,0,0,273523621.0,5.319,11188.744,1.04
Argentina,2020-05-13,529,14,45195777.0,11.198,18933.907,5.0
Saint Kitts and Nevis,2020-05-17,0,0,53192.0,,24654.385,2.3
Papua New Guinea,2020-03-31,0,0,8947027.0,3.808,3823.194,
Trinidad and Tobago,2020-06-03,0,0,1399491.0,10.014,28763.071,3.0
Senegal,2020-05-26,83,1,16743930.0,3.008,2470.58,
Australia,2020-01-06,0,0,25499881.0,15.504,44648.71,3.84
Oman,2020-04-17,109,0,5106622.0,2.355,37960.709,1.6
Andorra,2020-04-09,19,1,77265.0,,,
Sao Tome and Principe,2020-05-22,0,0,219161.0,2.886,3052.714,2.9
Cape Verde,2020-04-14,0,0,555988.0,4.46,6222.554,2.1
Netherlands,2020-01-01,0,0,17134873.0,18.779,48472.545,3.32
United Kingdom,2020-02-12,0,0,67886004.0,18.517,39753.244,2.54
Haiti,2020-05-29,123,1,11402533.0,4.8,1653.173,0.7
El Salvador,2020-04-15,10,0,6486201.0,8.273,7292.458,1.3
Gambia,2020-05-14,0,0,2416664.0,2.339,1561.767,1.1
Colombia,2020-04-14,76,3,50882884.0,7.646,13254.949,1.71
Botswana,2020-06-03,0,0,2351625.0,3.941,15807.374,1.8
Guernsey,2020-05-08,0,0,67052.0,,,
Japan,2020-01-19,0,0,126476458.0,27.049,39002.223,13.05
Montserrat,2020-04-16,0,0,4999.0,,,
Suriname,2020-05-25,0,0,586634.0,6.933,13767.119,3.1
Greece,2020-04-26,16,0,10423056.0,20.396,24574.382,4.21
Croatia,2020-04-12,39,0,4105268.0,19.724,22669.797,5.54
Togo,2020-04-13,0,0,8278737.0,2.839,1429.813,0.7
Vietnam,2020-04-29,0,0,97338583.0,7.15,6171.884,2.6
Guatemala,2020-05-18,149,2,17915567.0,4.694,7423.808,0.6
Libya,2020-05-07,1,0,6871287.0,4.424,17881.509,3.7
